miRNA	CA_1	CA_2	CA_3	DRMN_1	DRMN_2	DRMN_3	GO_1	GO_2	GO_3	GOCA_1	GOCA_2	GOCA_3
cNN1_1174	6	9	7	17	25	22	28	31	30	5	6	12
cNN1_1303	3	4	1	2	2	8	11	9	13	7	4	4
cNN1_1455	36	43	23	168	328	231	348	297	455	29	24	27
cNN1_152	185	250	204	323	745	480	1768	1510	2923	87	51	88
cNN1_1733	2	4	3	21	24	28	16	24	27	4	1	2
cNN1_1734	3	3	3	30	36	23	42	20	31	2	4	5
cNN1_1990	0	0	0	1	3	3	18	15	9	1	0	0
cNN1_2147	1	0	0	0	2	1	0	0	1	0	2	0
cNN1_2417	610	125	934	0	2	1	1526	2677	2450	54	39	69
cNN1_2426	192	31	185	1	0	0	280	241	498	14	12	13
cNN1_2753	81	98	88	319	546	420	376	323	510	90	64	111
cNN1_2755	3	4	6	18	33	17	14	11	15	1	2	1
cNN1_2769	661	667	501	2098	3574	2698	2790	2295	4396	677	518	628
cNN1_3010	25	39	25	84	213	110	68	39	60	44	30	52
cNN1_3232	1	2	2	10	23	14	3	2	6	1	0	2
cNN1_3556	0	0	0	1	1	1	0	2	0	0	1	0
cNN1_3562	9176	9444	9403	3283	1541	4665	8648	6756	1786	7895	6301	7601
cNN1_361	21	20	9	58	71	46	41	38	41	14	13	14
cNN1_3612	1	2	1	3	2	4	6	4	10	0	1	2
cNN1_3649	0	1	0	2	3	3	6	6	14	0	0	0
cNN1_4023	5	2	2	0	4	2	26	14	21	5	8	2
cNN1_4335	0	1	1	0	1	0	3	4	7	1	1	0
cNN1_5110	413	448	365	1696	3357	2063	1569	1345	2474	348	225	265
cNN1_524	10	19	9	42	53	49	36	44	47	14	17	18
cNN1_566	58	67	54	182	272	230	244	164	224	110	104	87
cNN1_576	15	17	19	39	87	58	63	48	64	31	40	29
cNN1_6324	1	2	0	2	5	2	7	2	8	0	0	0
cNN1_6537	96	106	94	285	392	314	281	112	182	171	147	110
cNN1_6833	0	1	4	58	119	108	7	2	11	0	1	0
cNN1_7091	0	0	1	3	4	1	2	4	4	0	1	0
cNN1_7092	0	0	0	1	3	3	5	5	3	0	0	0
cNN1_7157	44	11	67	0	1	0	406	632	759	6	4	3
cNN1_7159	141	26	221	1	0	1	1145	1811	2184	14	12	16
cNN1_7161	44	13	91	0	0	0	397	588	781	5	11	8
cNN1_7163	49	4	85	0	1	0	402	672	843	8	7	8
cNN1_7165	106	17	140	0	1	0	791	1223	1482	14	7	17
cNN1_7170	57	8	77	0	2	0	411	637	772	8	6	6
cNN1_7947	3	0	0	92	227	111	6	5	1	2	0	4
cNN1_7982	0	0	0	7	3	6	13	13	17	2	2	2
cNN1_8374	1	8	0	4	7	4	8	3	4	3	3	2
cNN1_8687	1	3	2	8	15	8	18	12	25	3	0	2
cNN1_9099	0	1	0	5	3	6	2	6	8	1	0	3
cNN2_10789	2	0	1	5	23	16	2	3	1	4	2	3
cNN2_10835	0	0	1	2	3	3	2	0	1	1	1	0
cNN2_10836	0	0	0	0	5	0	4	1	2	0	0	0
cNN2_10994	0	1	0	1	2	1	0	0	2	0	0	0
cNN2_11829	14	22	20	18	18	22	77	47	63	13	6	7
cNN2_11900	4	9	5	22	39	30	16	14	15	16	8	12
cNN2_11963	1	2	0	2	0	3	3	3	4	0	0	1
cNN2_12814	9	15	9	78	111	75	82	48	72	12	17	20
cNN2_13056	1	2	2	21	32	28	25	15	12	5	4	11
cNN2_13348	17	15	17	29	39	31	40	20	32	18	14	15
cNN2_13580	5	2	1	7	14	9	7	8	16	3	0	1
cNN2_13592	2	8	3	6	10	9	11	6	6	0	0	1
cNN2_13723	12	10	4	36	38	49	6	8	10	22	15	11
cNN2_14066	0	0	0	3	4	5	0	0	0	0	0	5
cNN2_14545	3	7	2	14	25	21	14	12	18	4	1	4
cNN2_14637	1	0	4	2	3	1	11	2	7	1	1	0
cNN2_15077	0	5	3	9	11	9	11	7	8	2	3	2
cNN2_15079	10	5	5	35	62	51	8	11	4	17	8	17
cNN2_9701	33	63	19	157	287	223	97	73	85	127	106	99
cNN2_9974	6	9	7	54	76	31	0	0	1	6	3	8
cNN3_16193	1978	2506	1522	3775	3710	3830	3904	2525	3431	1127	872	972
cNN3_16260	7	3	1	11	15	5	12	7	10	1	2	6
cNN3_16554	1302	1425	1070	1933	1572	1793	1319	569	644	1219	788	1000
cNN3_16559	1	0	1	15	23	12	4	5	13	1	0	1
cNN3_17015	3	4	8	16	30	23	20	20	34	26	12	18
cNN3_17027	13	13	5	11	27	23	7	13	9	5	3	1
cNN3_17355	2	10	14	38	64	59	28	19	16	10	4	11
cNN3_17664	0	1	0	2	2	1	2	0	1	0	0	1
cNN3_17744	50	55	27	2264	5358	3163	196	59	88	52	48	52
cNN3_18064	3	1	0	3	20	22	9	2	3	1	0	0
cNN3_18640	6	15	8	51	111	72	67	58	98	4	3	6
cNN3_18923	8	19	20	466	687	499	57	42	40	51	37	56
cNN3_18948	0	0	0	2	1	2	2	1	0	3	3	7
cNN3_18950	0	0	0	2	0	0	0	1	1	2	1	3
cNN3_19095	0	0	0	8	10	6	0	0	1	0	0	0
cNN3_19776	10	8	11	16	34	24	16	24	17	12	14	11
cNN3_19795	4	5	4	157	105	159	11	5	11	24	27	48
cNN3_19819	3	0	1	15	27	10	5	3	8	3	3	9
cNN3_19966	10	9	10	13	21	11	13	11	19	5	6	3
cNN4_20114	1	1	0	1	3	4	3	4	3	0	1	0
cNN4_20270	0	0	1	437	1529	642	4	0	0	1	0	3
cNN4_20794	6	5	5	17	25	14	6	8	13	1	3	6
cNN4_21381	2	5	7	28	58	37	27	17	32	7	1	3
cNN4_21909	1	4	0	10	8	8	5	6	6	2	0	0
cNN4_22106	55	71	61	169	300	207	223	155	220	100	86	94
cNN4_22186	300	448	300	1148	2194	1598	1869	1458	2156	346	309	384
cNN4_22435	94	134	93	633	772	580	230	81	138	105	58	89
cNN4_22859	0	1	1	452	1553	604	4	2	2	2	0	5
cNN4_22891	0	0	2	472	1500	612	3	0	0	0	0	2
cNN4_23232	20	31	18	32	54	44	40	26	34	6	6	14
cNN4_23387	0	0	0	25	18	25	0	1	0	2	0	0
cNN4_24092	25	7	8	63	85	66	54	48	60	7	8	13
cNN4_24694	25	51	31	75	135	105	150	102	156	43	48	43
cNN4_24695	176	264	198	788	1588	1124	1283	1011	1604	247	205	272
cNN4_25119	44	22	24	115	180	149	103	82	148	24	18	21
cNN5_25460	48	23	19	94	141	112	81	57	81	29	29	41
cNN5_25676	13	24	23	17	18	21	35	17	32	13	11	24
cNN5_25947	425	458	346	1224	2014	1570	3304	2238	3084	0	1	1
cNN5_26641	5	11	14	66	79	54	24	30	26	18	10	6
cNN5_26759	2	4	1	4	11	8	8	6	10	1	1	0
cNN5_27054	2	1	0	11	13	6	1	1	3	4	1	2
cNN5_27066	97	121	104	571	1204	709	398	254	506	181	193	178
cNN5_27210	3	6	4	28	25	30	34	25	39	9	4	9
cNN5_27323	0	0	0	0	2	0	2	0	0	1	0	2
cNN5_27478	1	0	0	49	81	29	6	6	8	1	0	0
cNN5_27482	1	0	0	36	89	52	2	2	4	0	1	1
cNN5_27520	177	156	163	339	499	353	514	398	477	119	107	126
cNN5_27921	173	71	68	6	5	8	4	4	7	62	38	44
cNN5_28150	0	0	0	4	15	11	2	1	7	1	1	2
cNN5_28346	24	25	25	61	108	86	181	184	221	13	13	13
cNN5_28564	9	4	6	13	19	22	20	9	16	6	7	8
cNN5_28804	20	37	21	25	29	21	28	21	6	49	40	35
cNN5_28904	2	3	2	7	7	6	11	3	9	7	6	4
cNN5_29008	131	162	112	609	1211	661	833	693	1274	80	71	95
cNN6_29339	2	4	6	7	11	6	6	3	6	6	4	3
cNN6_29919	90	151	66	661	790	541	257	89	131	115	70	102
cNN6_30081	0	0	3	2	0	1	7	2	6	0	0	1
cNN6_30138	1	3	3	7	9	10	5	5	3	4	5	3
cNN6_30301	5	9	6	59	68	60	33	17	42	9	6	19
cNN6_30315	5	2	3	7	19	11	6	9	10	2	2	5
cNN6_30367	36	34	19	42	57	34	64	47	70	14	11	13
cNN6_30719	2	3	3	39	93	44	39	40	93	0	0	1
cNN6_30753	9	9	5	59	64	48	34	23	27	10	8	7
cNN6_31505	1	2	4	13	19	16	12	4	5	2	3	4
cNN6_31560	1	4	4	27	20	21	13	12	10	7	2	4
cNN6_31602	4	2	1	10	19	7	15	15	45	3	1	4
cNN6_31710	0	1	3	8	18	12	17	13	29	4	4	0
cNN6_31775	1	0	1	1	4	0	1	3	10	0	0	1
cNN6_31806	1	0	0	9	7	8	0	0	0	1	2	1
cNN6_31843	3	2	5	4	13	10	7	2	7	7	3	5
cNN6_31904	5	1	4	18	22	15	25	11	17	10	3	8
cNN6_31909	262	389	260	714	1553	863	1970	1820	3284	47	52	108
cNN6_31910	266	428	300	717	1535	931	1877	1706	3176	47	30	123
cNN6_32283	1	0	3	5	4	11	2	8	7	1	0	2
cNN6_32351	4	4	2	8	7	15	23	13	46	0	0	2
cNN6_33399	10	14	11	9	9	13	10	6	9	22	10	12
cNN6_34231	3	0	1	1	1	0	6	2	5	0	0	0
cNN6_34355	0	0	0	3	14	6	16	16	27	3	5	3
cNN6_34554	2	2	1	2	3	2	4	3	2	0	0	1
cNN6_34563	3	1	3	4	7	2	6	6	6	4	1	3
cNN6_34835	36393	35323	25658	16833	5081	17943	12877	14114	1972	37699	30684	36492
cNN7_34999	711	1144	678	2097	4004	2613	4135	4416	6363	595	462	746
cNN7_35131	3	8	3	10	14	7	31	20	31	4	1	2
cNN7_36402	4	3	1	1	3	3	4	0	1	2	1	2
cNN7_36451	11	16	10	53	55	56	76	52	75	7	9	14
cNN7_37128	0	1	1	5	12	5	12	17	32	1	1	5
cNN7_37195	0	0	0	29	41	36	0	1	0	0	0	0
cNN7_37452	2	0	1	1	3	5	2	4	2	0	0	0
cNN7_38081	10	3	8	7	12	14	19	5	11	9	6	7
cNN7_39456	8	5	7	8	14	17	14	13	16	11	4	4
cNN7_39502	413	231	261	133	261	210	335	345	465	90	69	94
cNN8_40868	1576	1531	1245	2510	3248	2924	2208	1928	2707	3308	2859	2734
cNN8_41061	11	8	2	16	18	16	11	15	9	2	3	3
cNN8_41230	130	124	120	273	380	337	360	465	548	165	118	124
cNN8_41232	80	93	79	226	326	315	197	287	344	105	78	86
cNN8_41260	0	1	0	3	5	4	2	4	6	0	0	1
cNN8_41269	63	29	38	71	104	80	106	88	100	33	22	27
cNN8_41281	46	32	37	54	130	72	97	69	109	40	29	38
cNN8_41540	6	1	5	17	33	15	20	9	17	3	3	3
cNN8_41555	1533	1631	1294	6099	12201	7614	5957	5147	9063	1168	862	917
cNN8_41757	3	3	3	7	7	4	11	18	23	3	1	1
cNN8_41886	3	5	1	12	21	13	19	14	26	1	2	1
cNN8_42719	6	5	3	19	28	22	23	13	25	13	8	18
cNN8_42720	4	6	10	24	37	31	25	12	19	17	7	14
cNN8_42799	1	0	1	0	1	2	9	4	1	1	2	0
cNN8_43258	8	19	10	19	24	23	29	17	29	24	23	12
cNN8_43808	2	3	5	21	26	27	18	12	13	5	5	13
cNN8_43818	6	4	2	18	33	18	17	17	9	10	7	8
cNN8_43847	354	412	323	612	1230	702	2426	2119	3974	104	101	121
cNN8_43986	2	4	4	4	8	9	14	8	21	4	0	4
NupeN-Ncaffold_100031_44219	0	0	0	0	0	1	31	19	41	1	3	1
NupeN-Ncaffold_100043_44639	1	0	0	24	55	43	21	12	4	44	53	70
ppe-miR156f	0	0	0	0	0	0	0	0	0	0	0	0
ppe-miR156h	0	2	1	9	17	10	2	2	4	2	4	5
ppe-miR156i	0	2	0	15	23	10	4	4	4	3	3	6
ppe-miR159	4437	4637	3586	9459	16766	12660	14252	12460	18033	2467	2157	2365
ppe-miR160b	5	7	8	15	25	12	11	6	17	1	3	5
ppe-miR162	29	36	19	126	272	157	146	112	238	17	17	31
ppe-miR164a	25	13	13	74	141	102	66	67	63	33	25	31
ppe-miR164c	24	12	19	83	143	105	59	73	63	31	25	12
ppe-miR166b	78	84	45	303	434	267	143	161	233	32	51	54
ppe-miR166c	63	89	53	310	440	249	149	134	237	39	37	50
ppe-miR166e	73	79	48	292	403	246	179	143	268	48	33	37
ppe-miR167a	73	121	75	225	374	273	351	257	465	39	31	42
ppe-miR167c	240	408	300	672	1564	932	1908	1805	3236	47	43	103
ppe-miR167d	43	51	24	95	210	115	151	141	263	18	11	21
ppe-miR168	47	34	28	82	134	95	107	99	147	29	43	58
ppe-miR171b	1	0	0	3	4	4	0	3	4	1	1	2
ppe-miR171d-3p	0	1	0	0	0	0	0	0	0	0	0	0
ppe-miR171d-5p	0	0	0	0	0	0	1	1	2	0	0	0
ppe-miR171e	0	0	0	0	2	0	0	1	1	0	0	0
ppe-miR171f	0	0	2	2	1	1	0	0	0	0	0	1
ppe-miR171g	1	1	1	0	1	1	1	2	3	0	1	1
ppe-miR171h	0	0	0	0	3	1	0	0	1	0	1	0
ppe-miR172a-5p	11	10	4	6	6	9	10	10	11	3	7	3
ppe-miR172b	88	66	55	22	20	18	68	49	45	37	30	30
ppe-miR172d	4	2	3	9	3	8	7	3	7	5	1	3
ppe-miR319a	2	6	6	5	7	5	6	1	6	1	2	1
ppe-miR319b	0	0	0	1	0	1	0	0	0	0	0	0
ppe-miR3627-3p	0	0	0	2	1	2	0	0	0	0	0	1
ppe-miR3627-5p	1	0	3	14	9	11	0	0	0	5	3	5
ppe-miR393b	1	2	1	5	5	8	1	0	3	3	1	2
ppe-miR394a	53	93	35	113	144	118	30	22	28	94	74	92
ppe-miR395a-3p	45	13	39	0	0	0	60	93	99	2	2	6
ppe-miR395a-5p	4	1	4	0	0	0	12	7	11	1	1	0
ppe-miR395b-3p	51	5	45	0	0	0	52	101	100	4	2	1
ppe-miR395j	12	2	12	0	0	0	32	44	42	2	6	2
ppe-miR395k	10	4	15	0	0	0	19	40	64	2	2	5
ppe-miR395n	7	1	16	0	0	0	30	54	38	4	1	4
ppe-miR396a	445	685	412	1758	2788	1959	1334	732	1155	562	467	531
ppe-miR396b	1400	2412	1423	9741	15930	9680	5183	3249	5756	1931	1524	2173
ppe-miR397	0	0	0	98	202	111	1	2	0	0	0	0
ppe-miR398a-3p	10	4	4	1018	1429	1011	11	5	9	27	16	24
ppe-miR398a-5p	3	4	3	643	737	500	1	1	0	13	3	9
ppe-miR398b	22	20	15	3243	3339	2677	66	31	56	58	54	57
ppe-miR399a	32	14	19	0	0	0	0	0	4	5	6	6
ppe-miR399b	77	26	21	2	2	1	0	1	0	20	17	30
ppe-miR399n	9	0	0	0	1	0	2	0	1	2	0	1
ppe-miR403	70	123	70	254	341	270	321	254	314	64	64	69
ppe-miR477b-5p	0	0	0	0	2	0	2	0	0	0	2	0
ppe-miR482a-3p	25	22	23	64	115	82	82	84	123	11	4	14
ppe-miR482a-5p	0	1	0	0	2	1	2	1	0	0	0	0
ppe-miR482b-3p	220	176	145	505	721	603	654	442	721	318	251	281
ppe-miR482c-3p	112	142	93	296	366	328	266	145	251	71	54	49
ppe-miR482c-5p	223	261	181	386	297	335	377	122	192	253	164	233
ppe-miR482d-3p	0	0	0	1	0	2	3	8	4	1	3	1
ppe-miR482d-5p	0	0	0	1	0	1	2	0	0	0	0	2
ppe-miR482e	69	67	48	261	376	261	201	126	205	91	43	73
ppe-miR482f	64	65	46	210	393	271	188	139	262	83	76	80
ppe-miR530	22	29	17	32	22	22	7	14	6	34	24	38
ppe-miR535a	2	4	1	13	12	13	3	7	8	2	4	5
ppe-miR535b	5	10	1	19	22	20	9	15	14	2	4	3
ppe-miR6258	1	1	0	3	4	1	3	2	7	0	0	0
ppe-miR6259	0	0	0	0	1	1	1	0	1	0	0	0
ppe-miR6265	0	3	0	5	12	9	9	6	17	3	1	3
ppe-miR6267a	1	0	1	1	1	0	2	6	3	2	3	1
ppe-miR6270	6	5	5	10	16	7	24	15	17	2	2	6
ppe-miR6271	0	0	0	0	0	0	0	0	0	1	0	0
ppe-miR6274b-3p	1	0	0	2	4	6	4	0	0	1	2	1
ppe-miR6282	1	3	2	15	6	4	6	1	3	6	4	4
ppe-miR6284	0	0	0	0	0	0	0	1	0	0	0	0
ppe-miR6285	4	1	3	14	17	11	16	14	17	1	3	3
ppe-miR6290	1	2	1	6	5	11	8	2	3	1	2	2
ppe-miR6297a	0	2	1	5	6	6	7	2	3	4	1	1
ppe-miR6297b	1	0	2	1	4	2	0	0	0	2	0	0
ppe-miR7122a-3p	2	1	1	3	2	5	4	2	0	6	9	9
ppe-miR7122a-5p	141	151	97	131	251	185	387	340	408	51	42	46
ppe-miR7122b-5p	54	48	38	32	43	29	87	83	97	25	9	14
ppe-miR8125	35	55	31	157	322	219	114	88	101	114	88	102
ppe-miR8126-3p	0	0	0	0	0	0	0	0	1	1	0	1
ppe-miR827	52	29	37	15	17	15	33	26	45	18	9	9
ppe-miR828-3p	1	1	0	3	2	1	4	3	3	0	0	0
ppe-miR828-5p	0	2	1	1	2	1	0	2	4	1	2	1
ppe-miR858	6	3	1	35	83	50	7	6	10	19	17	9
