1030_x2366	ppe-miR167a
10381_x286	ppe-miR482c-3p
1051930_x2	ppe-miR6267a
10519_x282	ppe-miR398a-3p
107264_x24	ppe-miR827
1072970_x2	ppe-miR7122a-3p
10734_x276	ppe-miR827
1076121_x2	ppe-miR482d-5p
10855_x273	ppe-miR395j
1114022_x2	ppe-miR477b-5p
116502_x22	ppe-miR535a
11695_x255	ppe-miR395b-3p
1189072_x2	ppe-miR399b
122518_x21	ppe-miR7122a-3p
125148_x20	ppe-miR395n
1267_x1891	ppe-miR159
12882_x234	ppe-miR168
1294664_x2	ppe-miR6290
13072_x231	ppe-miR482b-3p
13075_x231	ppe-miR8125
13486_x224	ppe-miR7122a-5p
1350_x1770	ppe-miR398a-3p
13534_x223	ppe-miR397
140378_x18	ppe-miR398a-3p
1422503_x2	ppe-miR482f
143615_x17	ppe-miR167d
1446324_x2	ppe-miR482d-5p
145339_x17	ppe-miR8125
1478892_x2	ppe-miR6297b
15068_x201	ppe-miR162
15205_x199	ppe-miR398a-5p
1522046_x2	ppe-miR399a
153000_x16	ppe-miR6290
153723_x16	ppe-miR482b-3p
1537_x1540	ppe-miR166c
1629154_x2	ppe-miR482f
165091_x15	ppe-miR164a
1720766_x1	ppe-miR535a
1734_x1360	ppe-miR482b-3p
1766883_x1	ppe-miR482f
178931_x13	ppe-miR482b-3p
183643_x13	ppe-miR159
186299_x13	ppe-miR171g
1913720_x1	ppe-miR6282
1930_x1221	ppe-miR396b
196173_x12	ppe-miR398b
1971802_x1	ppe-miR403
205466_x11	ppe-miR828-3p
20942_x146	ppe-miR482a-3p
218614_x11	ppe-miR3627-5p
21949_x139	ppe-miR398b
22040_x138	ppe-miR172b
22191_x137	ppe-miR403
22299_x137	ppe-miR394a
2259319_x1	ppe-miR6267a
2259725_x1	ppe-miR8126-3p
226227_x10	ppe-miR403
226670_x10	ppe-miR482f
23857_x128	ppe-miR166e
246389_x9	ppe-miR172a-5p
25386_x120	ppe-miR482f
260668_x9	ppe-miR535b
26691_x114	ppe-miR398a-5p
2738_x900	ppe-miR398b
275800_x8	ppe-miR6270
28196_x108	ppe-miR396a
2836863_x1	ppe-miR6258
2944523_x1	ppe-miR6265
2946022_x1	ppe-miR6267a
296750_x8	ppe-miR6258
3082769_x1	ppe-miR6271
3113_x804	ppe-miR398a-5p
32343_x93	ppe-miR168
332295_x7	ppe-miR7122b-5p
3328484_x1	ppe-miR482c-3p
3356_x757	ppe-miR164a
3492803_x1	ppe-miR171d-5p
357587_x6	ppe-miR482d-3p
3728_x685	ppe-miR167d
37705_x79	ppe-miR160b
377384_x6	ppe-miR172d
379325_x6	ppe-miR171h
38355_x77	ppe-miR535a
38381_x77	ppe-miR482f
3932321_x1	ppe-miR393b
39682_x74	ppe-miR156i
397306_x6	ppe-miR167c
398472_x6	ppe-miR395b-3p
39899_x74	ppe-miR482a-3p
4098384_x1	ppe-miR482f
4215424_x1	ppe-miR6258
43277_x68	ppe-miR395k
440856_x5	ppe-miR399a
443520_x5	ppe-miR482a-5p
443952_x5	ppe-miR168
4541707_x1	ppe-miR156h
461682_x5	ppe-miR530
463288_x5	ppe-miR7122a-3p
467776_x5	ppe-miR482e
479129_x5	ppe-miR8125
481_x5265	ppe-miR398b
48344_x60	ppe-miR482b-3p
